[2019/06/08 13:15:28][CONFIG][initLogger]  Logging initialized.
[2019/06/08 13:15:28][CONFIG][initService]  Starting service...
[2019/06/08 13:15:28][CONFIG][currentConfigs]  Scheme: http://
[2019/06/08 13:15:28][CONFIG][currentConfigs]  Hostname: 0.0.0.0
[2019/06/08 13:15:28][CONFIG][currentConfigs]  Port: 3991
[2019/06/08 13:15:28][CONFIG][currentConfigs]  Path: /api/idm
[2019/06/08 13:15:28][CONFIG][currentConfigs]  Logger output directory: ./logs/ff
[2019/06/08 13:15:28][CONFIG][currentConfigs]  Logger output file: idm.log
[2019/06/08 13:15:28][CONFIG][currentConfigs]  Database username: cs122b_db39
[2019/06/08 13:15:28][CONFIG][currentConfigs]  dbPassword Provided?: true
[2019/06/08 13:15:28][CONFIG][currentConfigs]  Database hostname: localhost
[2019/06/08 13:15:28][CONFIG][currentConfigs]  Database port: 3307
[2019/06/08 13:15:28][CONFIG][currentConfigs]  Database driver: com.mysql.cj.jdbc.Driver
[2019/06/08 13:15:28][CONFIG][currentConfigs]  Database name: cs122b_db39
[2019/06/08 13:15:28][CONFIG][currentConfigs]  Database settings: ?autoReconnect=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=PST
[2019/06/08 13:15:28][CONFIG][currentConfigs]  timeout: 60000
[2019/06/08 13:15:28][CONFIG][currentConfigs]  expiration: 18000000000
[2019/06/08 13:15:28][CONFIG][connectToDatabase]  Connecting to database...
[2019/06/08 13:15:28][CONFIG][connectToDatabase]  Database URL: jdbc:mysql://localhost:3307/cs122b_db39?autoReconnect=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=PST
[2019/06/08 13:15:28][CONFIG][connectToDatabase]  Connected to database: com.mysql.cj.jdbc.ConnectionImpl@25b485ba
[2019/06/08 13:15:28][CONFIG][initHTTPServer]  Initializing HTTP server...
[2019/06/08 13:15:28][CONFIG][initHTTPServer]  Building URI from configs
[2019/06/08 13:15:28][CONFIG][initHTTPServer]  Set Jersey resources
[2019/06/08 13:15:29][CONFIG][initHTTPServer]  Set Jackson as serializer
[2019/06/08 13:15:29][CONFIG][initHTTPServer]  Creating Http Server
[2019/06/08 13:15:29][CONFIG][initHTTPServer]  HTTP server started.
[2019/06/08 13:15:29][CONFIG][initService]  Service initialized.
[2019/06/08 13:19:49][INFO][LoginUser]  received Login request
[2019/06/08 13:19:49][INFO][LoginUser]  {"email":"random@notAuser.com","password":"Kfizzle1212!"}
[2019/06/08 13:19:49][INFO][<init>]  checking password
[2019/06/08 13:19:49][INFO][LoginUser]  request model is valid
[2019/06/08 13:19:49][INFO][LoginUser]  Executing query com.mysql.cj.jdbc.ClientPreparedStatement: SELECT * FROM users WHERE email = 'random@notAuser.com'
[2019/06/08 13:19:49][INFO][LoginUser]  Query executed successfully
[2019/06/08 13:19:49][INFO][LoginUser]  User not found in database
[2019/06/08 13:20:16][INFO][RegisterUser]  received request to register user
[2019/06/08 13:20:16][INFO][<init>]  checking password
[2019/06/08 13:20:16][INFO][RegisterUser]  request model is valid
[2019/06/08 13:20:16][INFO][isEmailInUse]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT email From users WHERE email='user@newuser.com'
[2019/06/08 13:20:16][INFO][isEmailInUse]  Email not in use
[2019/06/08 13:20:16][INFO][InsertNewUser]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: INSERT INTO users(email,plevel,salt,pword,status) VALUES ('user@newuser.com',5,'fe311774','e1933641fb27aa8abdb9c918c641bb30b2c8c460f086de02ae68a5fe01f34aebb2923afdd5be04d82d60a5552bced70274bb65163aff784649b0fe5b21b7c968',1)
[2019/06/08 13:20:17][INFO][RegisterUser]  User successfully registered
[2019/06/08 13:20:39][INFO][LoginUser]  received Login request
[2019/06/08 13:20:39][INFO][LoginUser]  {"email":"user@newuser.com","password":"1"}
[2019/06/08 13:20:39][INFO][<init>]  checking password
